,Day,Date,team,team_opp,season,score,score_opp,home,result,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,Gls90,Ast90,G+A90,G-PK90,G+A-PK,Min%,Subs,Mn/Sub,PPM,onG,onGA,+/-,# Pl.1,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,SoT,SoT/90,G/SoT,Fls,# Pl_opp,Age_opp,MP_opp,Starts_opp,Gls_opp,Ast_opp,G+A_opp,G-PK_opp,PK_opp,PKatt_opp,Gls90_opp,Ast90_opp,G+A90_opp,G-PK90_opp,G+A-PK_opp,season_opp,Min%_opp,Subs_opp,Mn/Sub_opp,PPM_opp,onG_opp,onGA_opp,+/-_opp,# Pl_opp.1,Min_opp,GA_opp,GA90_opp,SoTA_opp,Saves_opp,Save%_opp,W_opp,D_opp,L_opp,CS_opp,CS%_opp,SoT_opp,SoT/90_opp,G/SoT_opp,Fls_opp,opp_code,day_code
811,Tue,2013-10-22,Ajax,Celtic,2013,1,2,0,0,21,23.5,6,66,5,3,8,5,0,1,0.83,0.5,1.33,0.83,1.33,100,18,0,1.33,5,8,-3,2,540,8,1.33,20,12,60.0,2,2,2,2,33.3,51,8.5,0.1,87,19,25.7,12,66,3,1,4,2,1,1,0.25,0.08,0.33,0.17,0.25,2013,100,18,0,1.0,12,16,-4,1,540,14,2.33,37,23,62.2,3,3,6,0,0.0,32,2.67,0.06,92,21,4
812,Wed,2013-10-23,Shakhtar,Leverkusen,2013,0,4,0,0,17,26.9,6,66,7,4,11,7,0,0,1.17,0.67,1.83,1.17,1.83,100,18,0,1.33,7,6,1,1,540,6,1.0,25,19,76.0,2,2,2,3,50.0,43,7.17,0.16,88,21,25.4,8,88,10,5,15,9,1,2,1.25,0.62,1.87,1.13,1.75,2013,100,23,0,1.25,10,16,-6,1,720,16,2.0,53,37,69.8,3,1,4,3,37.5,63,7.88,0.14,102,42,5
813,Wed,2013-10-23,Real Sociedad,Manchester Utd,2013,0,1,0,0,23,26.0,8,66,1,0,1,1,0,1,0.12,0.0,0.12,0.12,0.12,100,18,0,0.63,5,10,-5,2,540,10,1.67,32,22,68.8,1,2,5,1,12.5,44,5.5,0.02,80,24,27.7,10,110,15,11,26,14,1,2,1.5,1.1,2.6,1.4,2.5,2013,100,26,0,1.8,17,9,8,1,900,9,0.9,31,22,71.0,4,4,2,5,50.0,60,6.0,0.23,132,52,5
814,Wed,2013-10-23,FC Copenhagen,Galatasaray,2013,1,3,0,0,19,27.5,6,66,4,3,7,4,0,0,0.67,0.5,1.17,0.67,1.17,100,18,0,0.67,4,13,-9,1,540,13,2.17,48,35,72.9,1,1,4,1,16.7,27,4.5,0.15,98,23,28.3,8,88,9,8,17,9,0,0,1.13,1.0,2.12,1.13,2.12,2013,100,23,0,1.0,9,17,-8,2,720,17,2.12,45,28,62.2,2,2,4,1,12.5,38,4.75,0.24,118,31,5
815,Wed,2013-10-23,Manchester City,CSKA Moscow,2013,2,1,0,1,21,27.5,8,88,19,15,34,16,3,3,2.37,1.87,4.25,2.0,3.87,100,24,0,1.88,19,14,5,2,720,14,1.75,43,29,67.4,5,0,3,1,12.5,58,7.25,0.28,129,20,26.2,6,66,7,5,12,5,2,2,1.17,0.83,2.0,0.83,1.67,2013,100,17,0,0.5,8,17,-9,1,540,17,2.83,39,22,56.4,1,0,5,0,0.0,45,7.5,0.11,46,20,5
816,Wed,2013-10-23,Juventus,Real Madrid,2013,1,2,0,0,21,28.3,6,66,9,5,14,5,4,4,1.5,0.83,2.33,0.83,1.67,100,16,0,1.0,9,9,0,1,540,9,1.5,29,20,69.0,1,3,2,0,0.0,65,10.83,0.08,70,22,26.5,13,143,41,35,76,39,2,4,3.15,2.69,5.85,3.0,5.69,2013,100,39,0,2.46,41,10,31,2,1200,11,0.82,57,46,80.7,10,2,1,5,38.5,127,9.77,0.31,123,74,5
817,Wed,2013-10-23,Viktoria PlzeÅ,Bayern Munich,2013,0,5,0,0,18,28.9,12,66,6,6,12,6,0,0,0.5,0.5,1.0,0.5,1.0,100,17,0,1.58,26,24,2,1,540,17,2.83,44,27,61.4,6,1,5,0,0.0,35,2.92,0.17,90,22,26.5,12,132,24,20,44,22,2,4,2.0,1.67,3.67,1.83,3.5,2013,100,32,0,1.83,24,13,11,1,1080,13,1.08,44,31,70.5,6,4,2,4,33.3,81,6.75,0.27,132,13,5
818,Wed,2013-10-23,Paris S-G,Anderlecht,2013,5,0,0,1,21,26.8,10,110,24,20,44,23,1,2,2.4,2.0,4.4,2.3,4.3,100,28,0,2.0,25,9,16,1,900,9,0.9,43,34,79.1,6,2,2,3,30.0,85,8.5,0.27,114,21,23.3,6,66,4,4,8,4,0,1,0.67,0.67,1.33,0.67,1.33,2013,100,15,0,0.17,4,17,-13,2,540,16,2.67,36,20,55.6,0,1,5,0,0.0,35,5.83,0.11,99,3,5
819,Wed,2013-10-23,Manchester Utd,Real Sociedad,2013,1,0,1,1,24,27.7,10,110,15,11,26,14,1,2,1.5,1.1,2.6,1.4,2.5,100,26,0,1.8,17,9,8,1,900,9,0.9,31,22,71.0,4,4,2,5,50.0,60,6.0,0.23,132,23,26.0,8,66,1,0,1,1,0,1,0.12,0.0,0.12,0.12,0.12,2013,100,18,0,0.63,5,10,-5,2,540,10,1.67,32,22,68.8,1,2,5,1,12.5,44,5.5,0.02,80,75,5
820,Wed,2013-10-23,Benfica,Olympiacos,2013,1,1,1,2,21,27.0,6,66,7,4,11,6,1,1,1.17,0.67,1.83,1.0,1.67,100,17,0,1.67,8,8,0,1,540,8,1.33,25,17,68.0,3,1,2,1,16.7,41,6.83,0.15,101,23,26.4,8,88,12,10,22,11,1,3,1.5,1.25,2.75,1.37,2.62,2013,100,24,0,1.63,12,11,1,1,720,11,1.37,41,30,73.2,4,1,3,3,37.5,55,6.87,0.2,118,63,5
821,Wed,2013-10-23,Anderlecht,Paris S-G,2013,0,5,1,0,21,23.3,6,66,4,4,8,4,0,1,0.67,0.67,1.33,0.67,1.33,100,15,0,0.17,4,17,-13,2,540,16,2.67,36,20,55.6,0,1,5,0,0.0,35,5.83,0.11,99,21,26.8,10,110,24,20,44,23,1,2,2.4,2.0,4.4,2.3,4.3,2013,100,28,0,2.0,25,9,16,1,900,9,0.9,43,34,79.1,6,2,2,3,30.0,85,8.5,0.27,114,67,5
822,Wed,2013-10-23,Leverkusen,Shakhtar,2013,4,0,1,1,21,25.4,8,88,10,5,15,9,1,2,1.25,0.62,1.87,1.13,1.75,100,23,0,1.25,10,16,-6,1,720,16,2.0,53,37,69.8,3,1,4,3,37.5,63,7.88,0.14,102,17,26.9,6,66,7,4,11,7,0,0,1.17,0.67,1.83,1.17,1.83,2013,100,18,0,1.33,7,6,1,1,540,6,1.0,25,19,76.0,2,2,2,3,50.0,43,7.17,0.16,88,83,5
823,Wed,2013-10-23,Olympiacos,Benfica,2013,1,1,0,2,23,26.4,8,88,12,10,22,11,1,3,1.5,1.25,2.75,1.37,2.62,100,24,0,1.63,12,11,1,1,720,11,1.37,41,30,73.2,4,1,3,3,37.5,55,6.87,0.2,118,21,27.0,6,66,7,4,11,6,1,1,1.17,0.67,1.83,1.0,1.67,2013,100,17,0,1.67,8,8,0,1,540,8,1.33,25,17,68.0,3,1,2,1,16.7,41,6.83,0.15,101,15,5
824,Wed,2013-10-23,Galatasaray,FC Copenhagen,2013,3,1,1,1,23,28.3,8,88,9,8,17,9,0,0,1.13,1.0,2.12,1.13,2.12,100,23,0,1.0,9,17,-8,2,720,17,2.12,45,28,62.2,2,2,4,1,12.5,38,4.75,0.24,118,19,27.5,6,66,4,3,7,4,0,0,0.67,0.5,1.17,0.67,1.17,2013,100,18,0,0.67,4,13,-9,1,540,13,2.17,48,35,72.9,1,1,4,1,16.7,27,4.5,0.15,98,28,5
825,Wed,2013-10-23,CSKA Moscow,Manchester City,2013,1,2,1,0,20,26.2,6,66,7,5,12,5,2,2,1.17,0.83,2.0,0.83,1.67,100,17,0,0.5,8,17,-9,1,540,17,2.83,39,22,56.4,1,0,5,0,0.0,45,7.5,0.11,46,21,27.5,8,88,19,15,34,16,3,3,2.37,1.87,4.25,2.0,3.87,2013,100,24,0,1.88,19,14,5,2,720,14,1.75,43,29,67.4,5,0,3,1,12.5,58,7.25,0.28,129,51,5
826,Wed,2013-10-23,Real Madrid,Juventus,2013,2,1,1,1,22,26.5,13,143,41,35,76,39,2,4,3.15,2.69,5.85,3.0,5.69,100,39,0,2.46,41,10,31,2,1200,11,0.82,57,46,80.7,10,2,1,5,38.5,127,9.77,0.31,123,21,28.3,6,66,9,5,14,5,4,4,1.5,0.83,2.33,0.83,1.67,2013,100,16,0,1.0,9,9,0,1,540,9,1.5,29,20,69.0,1,3,2,0,0.0,65,10.83,0.08,70,37,5
827,Wed,2013-10-23,Bayern Munich,Viktoria PlzeÅ,2013,5,0,1,1,22,26.5,12,132,24,20,44,22,2,4,2.0,1.67,3.67,1.83,3.5,100,32,0,1.83,24,13,11,1,1080,13,1.08,44,31,70.5,6,4,2,4,33.3,81,6.75,0.27,132,18,28.9,12,66,6,6,12,6,0,0,0.5,0.5,1.0,0.5,1.0,2013,100,17,0,1.58,26,24,2,1,540,17,2.83,44,27,61.4,6,1,5,0,0.0,35,2.92,0.17,90,93,5
828,Tue,2013-11-05,Galatasaray,FC Copenhagen,2013,0,1,0,0,23,28.3,8,88,9,8,17,9,0,0,1.13,1.0,2.12,1.13,2.12,100,23,0,1.0,9,17,-8,2,720,17,2.12,45,28,62.2,2,2,4,1,12.5,38,4.75,0.24,118,19,27.5,6,66,4,3,7,4,0,0,0.67,0.5,1.17,0.67,1.17,2013,100,18,0,0.67,4,13,-9,1,540,13,2.17,48,35,72.9,1,1,4,1,16.7,27,4.5,0.15,98,28,4
829,Tue,2013-11-05,Bayern Munich,Viktoria PlzeÅ,2013,1,0,0,1,22,26.5,12,132,24,20,44,22,2,4,2.0,1.67,3.67,1.83,3.5,100,32,0,1.83,24,13,11,1,1080,13,1.08,44,31,70.5,6,4,2,4,33.3,81,6.75,0.27,132,18,28.9,12,66,6,6,12,6,0,0,0.5,0.5,1.0,0.5,1.0,2013,100,17,0,1.58,26,24,2,1,540,17,2.83,44,27,61.4,6,1,5,0,0.0,35,2.92,0.17,90,93,4
830,Tue,2013-11-05,Manchester Utd,Real Sociedad,2013,0,0,0,2,24,27.7,10,110,15,11,26,14,1,2,1.5,1.1,2.6,1.4,2.5,100,26,0,1.8,17,9,8,1,900,9,0.9,31,22,71.0,4,4,2,5,50.0,60,6.0,0.23,132,23,26.0,8,66,1,0,1,1,0,1,0.12,0.0,0.12,0.12,0.12,2013,100,18,0,0.63,5,10,-5,2,540,10,1.67,32,22,68.8,1,2,5,1,12.5,44,5.5,0.02,80,75,4
831,Tue,2013-11-05,Benfica,Olympiacos,2013,0,1,0,0,21,27.0,6,66,7,4,11,6,1,1,1.17,0.67,1.83,1.0,1.67,100,17,0,1.67,8,8,0,1,540,8,1.33,25,17,68.0,3,1,2,1,16.7,41,6.83,0.15,101,23,26.4,8,88,12,10,22,11,1,3,1.5,1.25,2.75,1.37,2.62,2013,100,24,0,1.63,12,11,1,1,720,11,1.37,41,30,73.2,4,1,3,3,37.5,55,6.87,0.2,118,63,4
832,Tue,2013-11-05,Anderlecht,Paris S-G,2013,1,1,0,2,21,23.3,6,66,4,4,8,4,0,1,0.67,0.67,1.33,0.67,1.33,100,15,0,0.17,4,17,-13,2,540,16,2.67,36,20,55.6,0,1,5,0,0.0,35,5.83,0.11,99,21,26.8,10,110,24,20,44,23,1,2,2.4,2.0,4.4,2.3,4.3,2013,100,28,0,2.0,25,9,16,1,900,9,0.9,43,34,79.1,6,2,2,3,30.0,85,8.5,0.27,114,67,4
833,Tue,2013-11-05,Leverkusen,Shakhtar,2013,0,0,0,2,21,25.4,8,88,10,5,15,9,1,2,1.25,0.62,1.87,1.13,1.75,100,23,0,1.25,10,16,-6,1,720,16,2.0,53,37,69.8,3,1,4,3,37.5,63,7.88,0.14,102,17,26.9,6,66,7,4,11,7,0,0,1.17,0.67,1.83,1.17,1.83,2013,100,18,0,1.33,7,6,1,1,540,6,1.0,25,19,76.0,2,2,2,3,50.0,43,7.17,0.16,88,83,4
834,Tue,2013-11-05,Real Sociedad,Manchester Utd,2013,0,0,1,2,23,26.0,8,66,1,0,1,1,0,1,0.12,0.0,0.12,0.12,0.12,100,18,0,0.63,5,10,-5,2,540,10,1.67,32,22,68.8,1,2,5,1,12.5,44,5.5,0.02,80,24,27.7,10,110,15,11,26,14,1,2,1.5,1.1,2.6,1.4,2.5,2013,100,26,0,1.8,17,9,8,1,900,9,0.9,31,22,71.0,4,4,2,5,50.0,60,6.0,0.23,132,52,4
835,Tue,2013-11-05,Paris S-G,Anderlecht,2013,1,1,1,2,21,26.8,10,110,24,20,44,23,1,2,2.4,2.0,4.4,2.3,4.3,100,28,0,2.0,25,9,16,1,900,9,0.9,43,34,79.1,6,2,2,3,30.0,85,8.5,0.27,114,21,23.3,6,66,4,4,8,4,0,1,0.67,0.67,1.33,0.67,1.33,2013,100,15,0,0.17,4,17,-13,2,540,16,2.67,36,20,55.6,0,1,5,0,0.0,35,5.83,0.11,99,3,4
836,Tue,2013-11-05,Shakhtar,Leverkusen,2013,0,0,1,2,17,26.9,6,66,7,4,11,7,0,0,1.17,0.67,1.83,1.17,1.83,100,18,0,1.33,7,6,1,1,540,6,1.0,25,19,76.0,2,2,2,3,50.0,43,7.17,0.16,88,21,25.4,8,88,10,5,15,9,1,2,1.25,0.62,1.87,1.13,1.75,2013,100,23,0,1.25,10,16,-6,1,720,16,2.0,53,37,69.8,3,1,4,3,37.5,63,7.88,0.14,102,42,4
837,Tue,2013-11-05,Juventus,Real Madrid,2013,2,2,1,2,21,28.3,6,66,9,5,14,5,4,4,1.5,0.83,2.33,0.83,1.67,100,16,0,1.0,9,9,0,1,540,9,1.5,29,20,69.0,1,3,2,0,0.0,65,10.83,0.08,70,22,26.5,13,143,41,35,76,39,2,4,3.15,2.69,5.85,3.0,5.69,2013,100,39,0,2.46,41,10,31,2,1200,11,0.82,57,46,80.7,10,2,1,5,38.5,127,9.77,0.31,123,74,4
838,Tue,2013-11-05,Olympiacos,Benfica,2013,1,0,1,1,23,26.4,8,88,12,10,22,11,1,3,1.5,1.25,2.75,1.37,2.62,100,24,0,1.63,12,11,1,1,720,11,1.37,41,30,73.2,4,1,3,3,37.5,55,6.87,0.2,118,21,27.0,6,66,7,4,11,6,1,1,1.17,0.67,1.83,1.0,1.67,2013,100,17,0,1.67,8,8,0,1,540,8,1.33,25,17,68.0,3,1,2,1,16.7,41,6.83,0.15,101,15,4
839,Tue,2013-11-05,FC Copenhagen,Galatasaray,2013,1,0,1,1,19,27.5,6,66,4,3,7,4,0,0,0.67,0.5,1.17,0.67,1.17,100,18,0,0.67,4,13,-9,1,540,13,2.17,48,35,72.9,1,1,4,1,16.7,27,4.5,0.15,98,23,28.3,8,88,9,8,17,9,0,0,1.13,1.0,2.12,1.13,2.12,2013,100,23,0,1.0,9,17,-8,2,720,17,2.12,45,28,62.2,2,2,4,1,12.5,38,4.75,0.24,118,31,4
840,Tue,2013-11-05,Viktoria PlzeÅ,Bayern Munich,2013,0,1,1,0,18,28.9,12,66,6,6,12,6,0,0,0.5,0.5,1.0,0.5,1.0,100,17,0,1.58,26,24,2,1,540,17,2.83,44,27,61.4,6,1,5,0,0.0,35,2.92,0.17,90,22,26.5,12,132,24,20,44,22,2,4,2.0,1.67,3.67,1.83,3.5,2013,100,32,0,1.83,24,13,11,1,1080,13,1.08,44,31,70.5,6,4,2,4,33.3,81,6.75,0.27,132,13,4
841,Tue,2013-11-05,Real Madrid,Juventus,2013,2,2,0,2,22,26.5,13,143,41,35,76,39,2,4,3.15,2.69,5.85,3.0,5.69,100,39,0,2.46,41,10,31,2,1200,11,0.82,57,46,80.7,10,2,1,5,38.5,127,9.77,0.31,123,21,28.3,6,66,9,5,14,5,4,4,1.5,0.83,2.33,0.83,1.67,2013,100,16,0,1.0,9,9,0,1,540,9,1.5,29,20,69.0,1,3,2,0,0.0,65,10.83,0.08,70,37,4
842,Wed,2013-11-06,Arsenal,Dortmund,2013,1,0,0,1,24,26.9,10,88,9,8,17,9,0,2,0.9,0.8,1.7,0.9,1.7,100,21,0,1.7,14,8,6,2,718,8,1.0,34,26,76.5,5,2,3,3,30.0,42,4.2,0.21,92,23,25.9,10,110,17,11,28,15,2,2,1.7,1.1,2.8,1.5,2.6,2013,100,28,0,1.7,18,13,5,2,900,13,1.3,50,37,74.0,5,2,3,2,20.0,86,8.6,0.17,149,25,5
843,Wed,2013-11-06,Schalke 04,Chelsea,2013,0,3,0,0,25,25.0,10,88,8,6,14,8,0,0,0.8,0.6,1.4,0.8,1.4,100,23,0,1.4,12,18,-6,2,720,15,1.87,41,26,63.4,4,2,4,4,40.0,53,5.3,0.15,96,22,28.1,12,132,18,14,32,17,1,1,1.5,1.17,2.67,1.42,2.58,2013,100,35,0,1.42,19,10,9,2,1080,10,0.83,41,31,75.6,4,5,3,7,58.3,55,4.58,0.31,182,22,5
844,Wed,2013-11-06,Celtic,Ajax,2013,0,1,0,0,19,25.7,12,66,3,1,4,2,1,1,0.25,0.08,0.33,0.17,0.25,100,18,0,1.0,12,16,-4,1,540,14,2.33,37,23,62.2,3,3,6,0,0.0,32,2.67,0.06,92,21,23.5,6,66,5,3,8,5,0,1,0.83,0.5,1.33,0.83,1.33,2013,100,18,0,1.33,5,8,-3,2,540,8,1.33,20,12,60.0,2,2,2,2,33.3,51,8.5,0.1,87,2,5
845,Wed,2013-11-06,Austria Wien,AtlÃ©tico Madrid,2013,0,4,0,0,19,26.1,10,66,5,4,9,5,0,0,0.5,0.4,0.9,0.5,0.9,100,18,0,1.3,10,13,-3,1,540,10,1.67,40,30,75.0,3,4,3,1,10.0,31,3.1,0.16,98,24,26.7,13,143,26,18,44,25,1,2,2.0,1.38,3.38,1.92,3.31,2013,100,35,0,2.0,26,10,16,2,1200,10,0.75,50,40,80.0,7,5,1,6,46.2,102,7.85,0.25,206,7,5
846,Wed,2013-11-06,Milan,Barcelona,2013,1,3,0,0,25,28.4,10,88,7,4,11,6,1,1,0.7,0.4,1.1,0.6,1.0,100,22,0,1.1,13,11,2,2,720,10,1.25,39,29,74.4,2,5,3,3,30.0,39,3.9,0.15,109,24,27.6,10,110,21,16,37,18,3,3,2.1,1.6,3.7,1.8,3.4,2013,100,25,0,1.8,21,8,13,2,900,8,0.8,32,24,75.0,5,3,2,3,30.0,93,9.3,0.19,114,11,5
847,Wed,2013-11-06,Basel,Steaua,2013,1,1,1,2,19,25.2,10,66,5,6,11,5,0,0,0.5,0.6,1.1,0.5,1.1,100,18,0,1.6,15,11,4,1,540,6,1.0,31,25,80.6,4,4,2,1,10.0,31,3.1,0.16,84,21,26.5,12,66,2,2,4,2,0,0,0.17,0.17,0.33,0.17,0.33,2013,100,18,0,1.25,13,15,-2,1,540,10,1.67,29,19,65.5,3,6,3,1,8.3,32,2.67,0.06,90,88,5
848,Wed,2013-11-06,Chelsea,Schalke 04,2013,3,0,1,1,22,28.1,12,132,18,14,32,17,1,1,1.5,1.17,2.67,1.42,2.58,100,35,0,1.42,19,10,9,2,1080,10,0.83,41,31,75.6,4,5,3,7,58.3,55,4.58,0.31,182,25,25.0,10,88,8,6,14,8,0,0,0.8,0.6,1.4,0.8,1.4,2013,100,23,0,1.4,12,18,-6,2,720,15,1.87,41,26,63.4,4,2,4,4,40.0,53,5.3,0.15,96,81,5
849,Wed,2013-11-06,Dortmund,Arsenal,2013,0,1,1,0,23,25.9,10,110,17,11,28,15,2,2,1.7,1.1,2.8,1.5,2.6,100,28,0,1.7,18,13,5,2,900,13,1.3,50,37,74.0,5,2,3,2,20.0,86,8.6,0.17,149,24,26.9,10,88,9,8,17,9,0,2,0.9,0.8,1.7,0.9,1.7,2013,100,21,0,1.7,14,8,6,2,718,8,1.0,34,26,76.5,5,2,3,3,30.0,42,4.2,0.21,92,4,5
850,Wed,2013-11-06,Zenit,Porto,2013,1,1,1,2,21,27.4,12,88,8,5,13,7,1,2,0.67,0.42,1.08,0.58,1.0,100,23,0,1.42,23,17,6,2,720,14,1.75,50,36,72.0,4,5,3,0,0.0,57,4.75,0.12,108,18,26.2,6,66,4,4,8,4,0,1,0.67,0.67,1.33,0.67,1.33,2013,100,17,0,0.83,4,7,-3,1,540,7,1.17,23,16,69.6,1,2,3,1,16.7,52,8.67,0.08,103,69,5
851,Wed,2013-11-06,Marseille,Napoli,2013,2,3,0,0,19,26.6,6,66,5,4,9,4,1,1,0.83,0.67,1.5,0.67,1.33,100,18,0,0.0,5,14,-9,1,540,14,2.33,34,20,58.8,0,0,6,0,0.0,31,5.17,0.13,69,19,27.5,6,66,10,8,18,10,0,0,1.67,1.33,3.0,1.67,3.0,2013,100,16,0,2.0,10,9,1,2,540,9,1.5,31,22,71.0,4,0,2,1,16.7,44,7.33,0.23,83,61,5
852,Wed,2013-11-06,Ajax,Celtic,2013,1,0,1,1,21,23.5,6,66,5,3,8,5,0,1,0.83,0.5,1.33,0.83,1.33,100,18,0,1.33,5,8,-3,2,540,8,1.33,20,12,60.0,2,2,2,2,33.3,51,8.5,0.1,87,19,25.7,12,66,3,1,4,2,1,1,0.25,0.08,0.33,0.17,0.25,2013,100,18,0,1.0,12,16,-4,1,540,14,2.33,37,23,62.2,3,3,6,0,0.0,32,2.67,0.06,92,21,5
853,Wed,2013-11-06,AtlÃ©tico Madrid,Austria Wien,2013,4,0,1,1,24,26.7,13,143,26,18,44,25,1,2,2.0,1.38,3.38,1.92,3.31,100,35,0,2.0,26,10,16,2,1200,10,0.75,50,40,80.0,7,5,1,6,46.2,102,7.85,0.25,206,19,26.1,10,66,5,4,9,5,0,0,0.5,0.4,0.9,0.5,0.9,2013,100,18,0,1.3,10,13,-3,1,540,10,1.67,40,30,75.0,3,4,3,1,10.0,31,3.1,0.16,98,8,5
854,Wed,2013-11-06,Barcelona,Milan,2013,3,1,1,1,24,27.6,10,110,21,16,37,18,3,3,2.1,1.6,3.7,1.8,3.4,100,25,0,1.8,21,8,13,2,900,8,0.8,32,24,75.0,5,3,2,3,30.0,93,9.3,0.19,114,25,28.4,10,88,7,4,11,6,1,1,0.7,0.4,1.1,0.6,1.0,2013,100,22,0,1.1,13,11,2,2,720,10,1.25,39,29,74.4,2,5,3,3,30.0,39,3.9,0.15,109,55,5
855,Wed,2013-11-06,Napoli,Marseille,2013,3,2,1,1,19,27.5,6,66,10,8,18,10,0,0,1.67,1.33,3.0,1.67,3.0,100,16,0,2.0,10,9,1,2,540,9,1.5,31,22,71.0,4,0,2,1,16.7,44,7.33,0.23,83,19,26.6,6,66,5,4,9,4,1,1,0.83,0.67,1.5,0.67,1.33,2013,100,18,0,0.0,5,14,-9,1,540,14,2.33,34,20,58.8,0,0,6,0,0.0,31,5.17,0.13,69,53,5
856,Wed,2013-11-06,Steaua,Basel,2013,1,1,0,2,21,26.5,12,66,2,2,4,2,0,0,0.17,0.17,0.33,0.17,0.33,100,18,0,1.25,13,15,-2,1,540,10,1.67,29,19,65.5,3,6,3,1,8.3,32,2.67,0.06,90,19,25.2,10,66,5,6,11,5,0,0,0.5,0.6,1.1,0.5,1.1,2013,100,18,0,1.6,15,11,4,1,540,6,1.0,31,25,80.6,4,4,2,1,10.0,31,3.1,0.16,84,12,5
857,Wed,2013-11-06,Porto,Zenit,2013,1,1,0,2,18,26.2,6,66,4,4,8,4,0,1,0.67,0.67,1.33,0.67,1.33,100,17,0,0.83,4,7,-3,1,540,7,1.17,23,16,69.6,1,2,3,1,16.7,52,8.67,0.08,103,21,27.4,12,88,8,5,13,7,1,2,0.67,0.42,1.08,0.58,1.0,2013,100,23,0,1.42,23,17,6,2,720,14,1.75,50,36,72.0,4,5,3,0,0.0,57,4.75,0.12,108,98,5
858,Tue,2013-11-26,Marseille,Arsenal,2013,0,2,0,0,19,26.6,6,66,5,4,9,4,1,1,0.83,0.67,1.5,0.67,1.33,100,18,0,0.0,5,14,-9,1,540,14,2.33,34,20,58.8,0,0,6,0,0.0,31,5.17,0.13,69,24,26.9,10,88,9,8,17,9,0,2,0.9,0.8,1.7,0.9,1.7,2013,100,21,0,1.7,14,8,6,2,718,8,1.0,34,26,76.5,5,2,3,3,30.0,42,4.2,0.21,92,4,4
859,Tue,2013-11-26,Ajax,Barcelona,2013,2,1,1,1,21,23.5,6,66,5,3,8,5,0,1,0.83,0.5,1.33,0.83,1.33,100,18,0,1.33,5,8,-3,2,540,8,1.33,20,12,60.0,2,2,2,2,33.3,51,8.5,0.1,87,24,27.6,10,110,21,16,37,18,3,3,2.1,1.6,3.7,1.8,3.4,2013,100,25,0,1.8,21,8,13,2,900,8,0.8,32,24,75.0,5,3,2,3,30.0,93,9.3,0.19,114,11,4
860,Tue,2013-11-26,Steaua,Schalke 04,2013,0,0,1,2,21,26.5,12,66,2,2,4,2,0,0,0.17,0.17,0.33,0.17,0.33,100,18,0,1.25,13,15,-2,1,540,10,1.67,29,19,65.5,3,6,3,1,8.3,32,2.67,0.06,90,25,25.0,10,88,8,6,14,8,0,0,0.8,0.6,1.4,0.8,1.4,2013,100,23,0,1.4,12,18,-6,2,720,15,1.87,41,26,63.4,4,2,4,4,40.0,53,5.3,0.15,96,81,4
861,Tue,2013-11-26,Arsenal,Marseille,2013,2,0,1,1,24,26.9,10,88,9,8,17,9,0,2,0.9,0.8,1.7,0.9,1.7,100,21,0,1.7,14,8,6,2,718,8,1.0,34,26,76.5,5,2,3,3,30.0,42,4.2,0.21,92,19,26.6,6,66,5,4,9,4,1,1,0.83,0.67,1.5,0.67,1.33,2013,100,18,0,0.0,5,14,-9,1,540,14,2.33,34,20,58.8,0,0,6,0,0.0,31,5.17,0.13,69,53,4
862,Tue,2013-11-26,Austria Wien,Porto,2013,1,1,0,2,19,26.1,10,66,5,4,9,5,0,0,0.5,0.4,0.9,0.5,0.9,100,18,0,1.3,10,13,-3,1,540,10,1.67,40,30,75.0,3,4,3,1,10.0,31,3.1,0.16,98,18,26.2,6,66,4,4,8,4,0,1,0.67,0.67,1.33,0.67,1.33,2013,100,17,0,0.83,4,7,-3,1,540,7,1.17,23,16,69.6,1,2,3,1,16.7,52,8.67,0.08,103,69,4
863,Tue,2013-11-26,AtlÃ©tico Madrid,Zenit,2013,1,1,0,2,24,26.7,13,143,26,18,44,25,1,2,2.0,1.38,3.38,1.92,3.31,100,35,0,2.0,26,10,16,2,1200,10,0.75,50,40,80.0,7,5,1,6,46.2,102,7.85,0.25,206,21,27.4,12,88,8,5,13,7,1,2,0.67,0.42,1.08,0.58,1.0,2013,100,23,0,1.42,23,17,6,2,720,14,1.75,50,36,72.0,4,5,3,0,0.0,57,4.75,0.12,108,98,4
864,Tue,2013-11-26,Chelsea,Basel,2013,0,1,0,0,22,28.1,12,132,18,14,32,17,1,1,1.5,1.17,2.67,1.42,2.58,100,35,0,1.42,19,10,9,2,1080,10,0.83,41,31,75.6,4,5,3,7,58.3,55,4.58,0.31,182,19,25.2,10,66,5,6,11,5,0,0,0.5,0.6,1.1,0.5,1.1,2013,100,18,0,1.6,15,11,4,1,540,6,1.0,31,25,80.6,4,4,2,1,10.0,31,3.1,0.16,84,12,4
865,Tue,2013-11-26,Milan,Celtic,2013,3,0,0,1,25,28.4,10,88,7,4,11,6,1,1,0.7,0.4,1.1,0.6,1.0,100,22,0,1.1,13,11,2,2,720,10,1.25,39,29,74.4,2,5,3,3,30.0,39,3.9,0.15,109,19,25.7,12,66,3,1,4,2,1,1,0.25,0.08,0.33,0.17,0.25,2013,100,18,0,1.0,12,16,-4,1,540,14,2.33,37,23,62.2,3,3,6,0,0.0,32,2.67,0.06,92,21,4
